# ==============================================,,,,,,,,,
# TCC - Log de Teste de Envelhecimento,,,,,,,,,
# ==============================================,,,,,,,,,
# Data/Hora Início: 2026-01-10 11:52:13,,,,,,,,,
# ,,,,,,,,,
# PARÂMETROS PID (FIXOS):,,,,,,,,,
#   Kp = 2.780000,,,,,,,,,
#   Ki = 0.00106000,,,,,,,,,
#   Kd = 5.000000,,,,,,,,,
# ,,,,,,,,,
# MODELO FOPDT IDENTIFICADO:,,,,,,,,,
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1),,,,,,,,,
#   K = 1.56 °C/%,,,,,,,,,
#   θ = 150.6 s,,,,,,,,,
#   τ = 1307.2 s,,,,,,,,,
# ,,,,,,,,,
# CONFIGURAÇÃO:,,,,,,,,,
#   Taxa de Rampa: 1.0 °C/s,,,,,,,,,
#   Intervalo de Amostragem: 1000 ms,,,,,,,,,
#   Janela PWM (SSR): 5000 ms,,,,,,,,,
# ,,,,,,,,,
# LIMITES DE SEGURANÇA:,,,,,,,,,
#   Temp. Máx. Forno: 130.0 °C,,,,,,,,,
#   Temp. Máx. DUT: 130.0 °C,,,,,,,,,
#   Corrente Máx. PSU: 1.5 A,,,,,,,,,
# ==============================================,,,,,,,,,
# ,,,,,,,,,
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt,
231.999,54.16,100,100,1,0.049,37.158,58,0.993,564.837
233,54.22,100,100,1,0.049,37.055,61,0.993,565.838
234,54.28,100,100,1,0.049,36.636,60,0.994,566.838
234.999,54.23,100,100,1,0.05,37.414,60,0.993,567.837
236,54.37,100,100,1,0.049,37.67,60,0.993,568.838
237,54.57,100,100,1,0.049,36.503,59,0.993,569.838
237.999,54.52,100,100,1,0.049,37.537,60,0.992,570.837
239,54.53,100,100,1,0.049,37.414,60,0.993,571.838
239.999,54.65,100,100,1,0.049,37.764,60,0.993,572.837
240.999,54.77,100,100,1,0.049,36.902,59,0.993,573.837
241.999,54.93,100,100,1,0.049,37.281,59,0.993,574.837
243,54.93,100,100,1,0.05,36.912,60,0.994,575.838
244.001,55.09,100,100,1,0.049,37.025,60,0.994,576.839
245.002,55.12,100,100,1,0.049,37.158,59,0.993,577.84
246,55.12,100,100,1,0.049,37.025,60,0.994,578.838
247.001,55.11,100,100,1,0.049,37.936,60,0.996,579.839
247.999,55.28,100,100,1,0.05,36.892,58,0.994,580.837
248.999,55.37,100,100,1,0.049,37.774,60,0.993,581.837
249.999,55.29,100,100,1,0.049,37.537,58,0.993,582.837
251,55.45,100,100,1,0.05,37.66,58,0.994,583.838
252,55.47,100,100,1,0.05,37.67,60,0.993,584.838
252.999,55.64,100,100,1,0.049,37.025,60,0.993,585.837
254,55.62,100,100,1,0.05,37.291,59,0.994,586.838
255.001,55.71,100,100,1,0.05,36.769,60,0.994,587.839
255.999,55.82,100,100,1,0.049,37.271,60,0.994,588.837
256.999,55.86,100,100,1,0.05,37.148,61,0.994,589.837
257.999,55.97,100,100,1,0.05,37.67,61,0.994,590.837
258.999,55.95,100,100,1,0.05,37.69,60,0.995,591.837
259.999,56.14,100,100,1,0.049,36.912,59,0.993,592.837
260.999,56.09,100,100,1,0.05,37.168,60,0.993,593.837
261.999,56.27,100,100,1,0.049,37.301,58,0.993,594.837
262.999,56.3,100,100,1,0.05,37.537,58,0.993,595.837
263.999,56.37,100,100,1,0.05,37.67,60,0.993,596.837
265,56.37,100,100,1,0.05,37.168,59,0.993,597.838
265.999,56.42,100,100,1,0.05,37.045,60,0.994,598.837
266.999,56.6,100,100,1,0.05,36.902,60,0.994,599.837
267.999,56.63,100,100,1,0.05,37.537,60,0.994,600.837
269,56.81,100,100,1,0.049,37.035,59,0.996,601.838
269.999,56.82,100,100,1,0.05,37.148,60,0.994,602.837
270.999,56.8,100,100,1,0.05,37.67,58,0.993,603.837
272,56.88,100,100,1,0.05,37.404,60,0.993,604.838
272.999,56.95,100,100,1,0.05,37.291,58,0.993,605.837
273.999,57.14,100,100,1,0.05,36.892,60,0.993,606.837
274.999,57.14,100,100,1,0.05,37.547,59,0.994,607.837
275.999,57.2,100,100,1,0.05,37.262,60,0.994,608.837
276.999,57.21,100,100,1,0.05,37.404,58,0.993,609.837
277.999,57.35,100,100,1,0.05,37.803,60,0.993,610.837
278.999,57.46,100,100,1,0.05,37.66,58,0.994,611.837
280,57.46,100,100,1,0.049,37.631,58,0.993,612.838
280.999,57.54,100,100,1,0.049,36.902,58,0.994,613.837
281.999,57.61,100,100,1,0.049,37.793,58,0.995,614.837
282.999,57.67,100,100,1,0.049,37.547,60,0.993,615.837
283.999,57.71,100,100,1,0.049,37.271,59,0.994,616.837
284.999,57.78,100,100,1,0.049,37.803,60,0.995,617.837
285.999,57.76,100,100,1,0.049,37.168,60,0.992,618.837
286.999,57.91,100,100,1,0.05,37.045,58,0.994,619.837
287.999,57.96,100,100,1,0.049,37.547,60,0.993,620.837
