Data,Hora,Temperatura,Slack,Tensão
07/04/2025,13:07:29,110348,127,1291
07/04/2025,13:07:31,110481,128,1292
07/04/2025,13:07:33,110737,127,1291
07/04/2025,13:07:35,110358,128,1291
07/04/2025,13:07:37,110245,126,1290
07/04/2025,13:07:39,110747,127,1293
07/04/2025,13:07:41,110348,127,1291
07/04/2025,13:07:43,110624,127,1292
07/04/2025,13:07:45,111126,129,1291
07/04/2025,13:07:47,110471,127,1291
07/04/2025,13:07:49,110102,127,1291
07/04/2025,13:07:51,111136,128,1292
07/04/2025,13:07:53,110461,128,1291
07/04/2025,13:07:55,110614,128,1291
07/04/2025,13:07:57,110870,127,1291
07/04/2025,13:07:59,110378,127,1292
07/04/2025,13:08:01,110348,128,1291
07/04/2025,13:08:03,111259,127,1290
07/04/2025,13:08:05,110481,127,1290
07/04/2025,13:08:07,110501,128,1291
07/04/2025,13:08:09,110481,128,1292
07/04/2025,13:08:11,110993,127,1289
07/04/2025,13:08:13,110368,128,1291
07/04/2025,13:08:15,110102,128,1295
07/04/2025,13:08:17,109939,128,1294
07/04/2025,13:08:19,110491,126,1294
07/04/2025,13:08:21,110973,126,1294
07/04/2025,13:08:23,110870,126,1295
07/04/2025,13:08:25,110973,128,1295
07/04/2025,13:08:27,110643,128,1294
07/04/2025,13:08:29,110727,126,1293
07/04/2025,13:08:31,111219,128,1293
07/04/2025,13:08:33,110766,126,1296
07/04/2025,13:08:35,110880,126,1295
07/04/2025,13:08:37,110358,127,1293
07/04/2025,13:08:39,110973,126,1294
07/04/2025,13:08:41,110860,127,1294
07/04/2025,13:08:43,111126,126,1293
07/04/2025,13:08:45,110727,128,1294
07/04/2025,13:08:47,110634,127,1292
07/04/2025,13:08:49,110747,127,1294
07/04/2025,13:08:51,110378,127,1294
07/04/2025,13:08:53,111249,128,1293
07/04/2025,13:08:55,111239,128,1294
07/04/2025,13:08:57,110757,127,1293
07/04/2025,13:08:59,110604,127,1294
07/04/2025,13:09:01,110481,127,1294
07/04/2025,13:09:03,110727,127,1294
07/04/2025,13:09:05,110840,128,1294
07/04/2025,13:09:07,110338,128,1294
07/04/2025,13:09:09,110614,128,1295
07/04/2025,13:09:11,111229,128,1294
07/04/2025,13:09:13,110358,128,1294
07/04/2025,13:09:15,110102,128,1295
07/04/2025,13:09:17,110717,128,1294
07/04/2025,13:09:19,110604,127,1294
07/04/2025,13:09:21,111352,128,1294
07/04/2025,13:09:23,110102,127,1294
07/04/2025,13:09:25,110481,128,1294
07/04/2025,13:09:27,110102,128,1294
07/04/2025,13:09:29,110614,128,1294
